,RK,PLAYER,TEAM,GP,G,A,PTS,+/-,PIM,PTS/G,SOG,PCT,GWG,PP-G,PP-A,SH-G,SH-A
0,,,,,,,,,,,,,,PP,PP,SH,SH
1,RK,PLAYER,TEAM,GP,G,A,PTS,+/-,PIM,PTS/G,SOG,PCT,GWG,G,A,G,A
2,1,"Nikita Kucherov, RW",TB,23,8,24,32,6,14,1.39,62,12.9,0,4,15,0,0
3,2,"Brayden Point, C",TB,23,14,9,23,7,8,1.00,49,28.6,3,7,5,0,0
4,3,"Steven Stamkos, C",TB,23,8,10,18,0,4,0.78,43,18.6,2,5,7,0,0
5,,"Victor Hedman, D",TB,23,2,16,18,1,8,0.78,55,3.6,0,2,11,0,0
6,5,"Alex Killorn, LW",TB,19,8,9,17,-1,6,0.89,39,20.5,0,4,4,0,1
7,6,"Nick Suzuki, C",MTL,22,7,9,16,-6,2,0.73,53,13.2,1,2,4,0,0
8,,"William Karlsson, C",VGS,19,4,12,16,10,2,0.84,34,11.8,0,0,1,0,0
9,8,"Nathan MacKinnon, C",COL,10,8,7,15,6,2,1.50,38,21.1,2,2,4,0,0
10,,"David Pastrnak, RW",BOS,11,7,8,15,3,8,1.36,52,13.5,1,3,4,0,0
11,10,"Mathew Barzal, C",NYI,19,6,8,14,0,19,0.74,44,13.6,1,1,4,0,0
12,,,,,,,,,,,,,,PP,PP,SH,SH
13,RK,PLAYER,TEAM,GP,G,A,PTS,+/-,PIM,PTS/G,SOG,PCT,GWG,G,A,G,A
14,,"Tyler Toffoli, RW",MTL,22,5,9,14,-6,6,0.64,49,10.2,2,1,4,1,0
15,12,"Josh Bailey, C",NYI,19,6,7,13,-2,4,0.68,34,17.6,1,1,1,0,0
16,,"Ondrej Palat, LW",TB,23,5,8,13,8,10,0.57,42,11.9,2,0,0,0,0
17,,"Mikko Rantanen, RW",COL,10,5,8,13,5,4,1.30,32,15.6,2,3,3,0,0
18,,"Anthony Beauvillier, LW",NYI,19,5,8,13,-1,4,0.68,53,9.4,1,2,1,0,0
19,,"Gabriel Landeskog, LW",COL,10,4,9,13,1,9,1.30,23,17.4,1,1,2,0,0
20,,"Jean-Gabriel Pageau, C",NYI,19,3,10,13,9,6,0.68,39,7.7,0,1,1,0,0
21,18,"Brad Marchand, C",BOS,11,8,4,12,2,12,1.09,32,25.0,2,5,1,0,0
22,,"Brock Nelson, C",NYI,19,7,5,12,-1,4,0.63,35,20.0,2,1,1,0,0
23,,"Anthony Cirelli, C",TB,23,5,7,12,9,20,0.52,41,12.2,1,0,2,0,1
24,,,,,,,,,,,,,,PP,PP,SH,SH
25,RK,PLAYER,TEAM,GP,G,A,PTS,+/-,PIM,PTS/G,SOG,PCT,GWG,G,A,G,A
26,,"Alex Pietrangelo, D",VGS,19,4,8,12,8,18,0.63,76,5.3,1,0,2,0,0
27,,"Cole Caufield, RW",MTL,20,4,8,12,-5,0,0.60,48,8.3,0,2,1,0,0
28,,"Charlie McAvoy, D",BOS,11,1,11,12,2,4,1.09,30,3.3,1,0,8,0,0
29,24,"Sebastian Aho, RW",CAR,11,6,5,11,5,12,1.00,38,15.8,2,2,2,0,0
30,,"Max Pacioretty, LW",VGS,13,5,6,11,6,4,0.85,45,11.1,3,0,1,0,0
31,,"Jordan Eberle, RW",NYI,19,4,7,11,-1,4,0.58,46,8.7,0,2,2,0,0
32,,"Blake Coleman, C",TB,23,3,8,11,5,22,0.48,45,6.7,1,0,0,1,0
33,28,"Corey Perry, RW",MTL,22,4,6,10,-5,25,0.45,30,13.3,1,2,2,0,0
34,,"Reilly Smith, RW",VGS,19,3,7,10,7,4,0.53,41,7.3,1,0,0,0,0
35,,"Jonathan Huberdeau, LW",FLA,6,2,8,10,-3,4,1.67,18,11.1,0,1,4,0,0
36,,,,,,,,,,,,,,PP,PP,SH,SH
37,RK,PLAYER,TEAM,GP,G,A,PTS,+/-,PIM,PTS/G,SOG,PCT,GWG,G,A,G,A
38,,"Cale Makar, D",COL,10,2,8,10,0,2,1.00,23,8.7,0,2,4,0,0
39,,"Shea Theodore, D",VGS,19,1,9,10,7,10,0.53,52,1.9,0,0,1,0,0
40,,"Erik Cernak, D",TB,21,1,9,10,12,16,0.48,36,2.8,0,0,0,0,0
41,34,"Kyle Palmieri, RW",NYI,19,7,2,9,5,10,0.47,35,20.0,1,1,1,0,0
42,,"Jonathan Marchessault, C",VGS,19,6,3,9,8,12,0.47,51,11.8,0,1,0,0,0
43,,"Patrice Bergeron, C",BOS,11,4,5,9,1,4,0.82,44,9.1,1,0,3,0,0
44,,"Alex Tuch, RW",VGS,19,4,5,9,6,6,0.47,42,9.5,1,1,0,0,0
45,,"Nicolas Roy, C",VGS,19,4,5,9,-2,8,0.47,23,17.4,2,0,0,0,0
46,,"David Krejci, C",BOS,11,2,7,9,0,2,0.82,32,6.3,0,1,5,0,0
47,40,"Brandon Saad, LW",COL,10,7,1,8,3,12,0.80,19,36.8,0,1,0,0,0
